pii(1): 0.9972602739726028
1-th run, acc:1.0, len(nr):2, new_val:726.0054794520547
2-th run, acc:1.0, len(nr):3, new_val:1086.0246350159505
3-th run, acc:1.0, len(nr):4, new_val:1444.065633409337
4-th run, acc:1.0000000000000002, len(nr):5, new_val:1800.1366115102694
5-th run, acc:0.9999999999999998, len(nr):6, new_val:2154.245676459412
6-th run, acc:1.0, len(nr):7, new_val:2506.40090576191
7-th run, acc:1.0, len(nr):8, new_val:2856.610347388917
8-th run, acc:1.0, len(nr):9, new_val:3204.882019878798
9-th run, acc:0.9999999999999999, len(nr):10, new_val:3551.2239124379985
10-th run, acc:0.9999999999999997, len(nr):11, new_val:3895.6439850415736
11-th run, acc:1.0, len(nr):12, new_val:4238.1501685334
12-th run, acc:0.9999999999999998, len(nr):13, new_val:4578.750364726036
13-th run, acc:1.0000000000000002, len(nr):14, new_val:4917.452446500293
14-th run, acc:0.9999999999999999, len(nr):15, new_val:5254.264257904421
15-th run, acc:0.9999999999999998, len(nr):16, new_val:5589.193614253032
16-th run, acc:1.0, len(nr):17, new_val:5922.248302225645
17-th run, acc:1.0, len(nr):18, new_val:6253.436079964936
18-th run, acc:0.9999999999999998, len(nr):19, new_val:6582.764677174655
19-th run, acc:1.0, len(nr):20, new_val:6910.241795217232
20-th run, acc:0.9999999999999996, len(nr):21, new_val:7235.875107211027
21-th run, acc:0.9999999999999999, len(nr):22, new_val:7559.6722581273225
22-th run, acc:1.0, len(nr):23, new_val:7881.640864886918
23-th run, acc:1.0, len(nr):24, new_val:8201.788516456476
24-th run, acc:0.9999999999999999, len(nr):25, new_val:8520.122773944511
25-th run, acc:1.0, len(nr):26, new_val:8836.65117069708
26-th run, acc:1.0, len(nr):27, new_val:9151.381212393142
27-th run, acc:1.0, len(nr):28, new_val:9464.320377139615
28-th run, acc:1.0, len(nr):29, new_val:9775.476115566122
29-th run, acc:0.9999999999999999, len(nr):30, new_val:10084.855850919417
30-th run, acc:0.9999999999999998, len(nr):31, new_val:10392.466979157507
31-th run, acc:0.9999999999999998, len(nr):32, new_val:10698.31686904345
32-th run, acc:1.0, len(nr):33, new_val:11002.412862238865
33-th run, acc:1.0, len(nr):34, new_val:11304.762273397111
34-th run, acc:1.0, len(nr):35, new_val:11605.37239025618
35-th run, acc:0.9999999999999999, len(nr):36, new_val:11904.25047373127
36-th run, acc:0.9999999999999998, len(nr):37, new_val:12201.403758007058
37-th run, acc:0.9999999999999997, len(nr):38, new_val:12496.839450629664
38-th run, acc:0.9999999999999998, len(nr):39, new_val:12790.564732598321
39-th run, acc:0.9999999999999998, len(nr):40, new_val:13082.58675845673
40-th run, acc:0.9999999999999997, len(nr):41, new_val:13372.912656384124
41-th run, acc:0.9999999999999998, len(nr):42, new_val:13661.549528286034
42-th run, acc:0.9999999999999997, len(nr):43, new_val:13948.504449884735
43-th run, acc:0.9999999999999998, len(nr):44, new_val:14233.784470809424
44-th run, acc:0.9999999999999998, len(nr):45, new_val:14517.396614686078
45-th run, acc:0.9999999999999996, len(nr):46, new_val:14799.34787922701
46-th run, acc:0.9999999999999998, len(nr):47, new_val:15079.645236320175
47-th run, acc:0.9999999999999996, len(nr):48, new_val:15358.295632118101
48-th run, acc:0.9999999999999998, len(nr):49, new_val:15635.305987126625
49-th run, acc:0.9999999999999998, len(nr):50, new_val:15910.683196293241
50-th run, acc:0.9999999999999998, len(nr):51, new_val:16184.434129095216
51-th run, acc:0.9999999999999997, len(nr):52, new_val:16456.565629627414
52-th run, acc:0.9999999999999998, len(nr):53, new_val:16727.08451668978
53-th run, acc:0.9999999999999998, len(nr):54, new_val:16995.99758387461
54-th run, acc:0.9999999999999997, len(nr):55, new_val:17263.311599653458
55-th run, acc:0.9999999999999996, len(nr):56, new_val:17529.03330746382
56-th run, acc:0.9999999999999997, len(nr):57, new_val:17793.169425795462
57-th run, acc:0.9999999999999997, len(nr):58, new_val:18055.726648276555
58-th run, acc:0.9999999999999998, len(nr):59, new_val:18316.71164375944
59-th run, acc:0.9999999999999997, len(nr):60, new_val:18576.131056406142
60-th run, acc:0.9999999999999998, len(nr):61, new_val:18833.9915057736
61-th run, acc:0.9999999999999998, len(nr):62, new_val:19090.299586898658
62-th run, acc:0.9999999999999998, len(nr):63, new_val:19345.061870382684
63-th run, acc:0.9999999999999999, len(nr):64, new_val:19598.284902475974
64-th run, acc:0.9999999999999999, len(nr):65, new_val:19849.975205161878
65-th run, acc:0.9999999999999998, len(nr):66, new_val:20100.139276240632
66-th run, acc:0.9999999999999998, len(nr):67, new_val:20348.783589412888
67-th run, acc:0.9999999999999999, len(nr):68, new_val:20595.91459436303
68-th run, acc:0.9999999999999999, len(nr):69, new_val:20841.538716842137
69-th run, acc:0.9999999999999999, len(nr):70, new_val:21085.66235875075
70-th run, acc:0.9999999999999998, len(nr):71, new_val:21328.291898221305
71-th run, acc:0.9999999999999999, len(nr):72, new_val:21569.43368970033
72-th run, acc:0.9999999999999998, len(nr):73, new_val:21809.094064030334
73-th run, acc:1.0, len(nr):74, new_val:22047.27932853147
