No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2010,1,1,0,4,NA,NA,NA,NA,-21,43,1021,-11,NW,1.79,0,0
2,2010,1,1,1,4,NA,NA,NA,NA,-21,47,1020,-12,NW,4.92,0,0
3,2010,1,1,2,4,NA,NA,NA,NA,-21,43,1019,-11,NW,6.71,0,0
4,2010,1,1,3,4,NA,NA,858,NA,-21,55,1019,-14,NW,9.84,0,0
5,2010,1,1,4,4,NA,39,NA,NA,-20,NA,1018,-12,NW,12.97,0,0
6,2010,1,1,5,4,NA,NA,NA,1818,-19,47,1017,-10,NW,16.1,0,0
7,2010,1,1,6,4,NA,1871,NA,383,-19,44,1017,-9,NW,19.23,0,0
8,2010,1,1,7,4,17,NA,NA,12,-19,440,1017,-9,cv,21.02,0,0
9,2010,1,1,8,4,NA,NA,NA,NA,-19,44,1017,-9,NW,24.15,0,0
10,2010,1,1,9,4,NA,NA,NA,NA,-20,37,1017,-8,NW,27.28,0,0
